Cell_ID	count.16S	count.12S	mito_counts	nCount_RNA	nFeature_RNA	dataset
SRR3329965	240014	308	46080	661601	1187	SmartSeq2
SRR3329966	381449	9	50770	753961	1304	SmartSeq2
SRR3329967	237929	928	48026	847358	1340	SmartSeq2
SRR3329968	357235	696	64348	865030	1133	SmartSeq2
SRR3329969	189089	778	31467	538657	992	SmartSeq2
SRR3329970	243926	209	32482	650663	1521	SmartSeq2
SRR3329971	180782	1113	24654	421511	1046	SmartSeq2
SRR3329972	333929	878	42072	824180	1222	SmartSeq2
SRR3329973	290112	1832	38601	741117	1083	SmartSeq2
SRR3329974	406307	817	35384	921045	878	SmartSeq2
SRR3329975	463125	1	40708	981497	755	SmartSeq2
SRR3329976	214268	4	20421	610308	625	SmartSeq2
SRR3329977	520	1	68	79133	612	SmartSeq2
SRR3329978	54894	1549	6171	243136	1248	SmartSeq2
SRR3329979	132816	1086	19960	346560	632	SmartSeq2
SRR3329980	253414	3184	15976	467932	718	SmartSeq2
SRR3329981	284076	189	52487	651284	761	SmartSeq2
