Size (bp),A2,A3,A4,A5
391.00,6.89,2.90,0.14,2.23
391.75,7.19,2.51,0.00,2.98
392.50,7.49,2.11,0.52,3.30
393.25,7.80,1.91,1.05,3.62
394.00,7.67,1.70,1.80,3.95
394.75,7.26,1.50,2.55,4.35
395.50,6.84,1.30,2.93,4.75
396.25,6.39,1.37,3.31,5.51
397.00,5.93,1.45,3.13,6.27
397.75,5.60,2.00,2.95,6.90
398.50,5.27,2.56,2.22,7.53
399.25,4.71,3.74,2.05,8.16
400.00,4.40,3.70,1.89,8.70
401.00,4.08,3.66,1.85,9.24
401.79,3.78,3.14,1.80,9.20
402.57,3.47,2.62,1.55,9.17
403.36,3.22,2.30,1.30,8.99
404.14,2.97,1.97,0.92,8.81
404.93,2.87,2.09,0.54,8.72
405.71,2.77,2.21,0.32,8.63
406.50,3.20,3.24,0.09,8.55
407.29,3.65,3.90,0.00,8.16
408.07,4.09,4.55,0.14,7.78
408.86,4.28,4.93,0.28,7.28
409.64,4.46,5.31,0.83,6.79
410.43,4.05,5.27,1.38,6.75
411.21,3.63,5.22,2.32,6.71
412.00,2.16,4.82,3.27,7.15
412.79,1.78,4.42,4.25,7.60
413.57,1.40,2.88,5.23,8.04
414.36,1.77,1.98,6.02,9.23
415.14,2.14,1.08,5.42,10.42
415.93,3.06,0.55,4.82,11.65
416.71,3.99,0.02,3.54,12.89
417.50,5.90,0.01,2.26,13.28
418.29,6.38,0.00,1.25,13.67
419.07,6.86,0.47,0.23,14.07
419.86,6.62,0.94,0.12,13.77
420.64,6.38,2.72,0.00,13.47
421.43,5.60,3.57,0.44,12.94
422.21,4.82,4.42,0.88,12.41
423.00,4.12,4.79,1.45,12.28
423.79,3.41,5.17,1.40,12.15
424.57,3.31,5.19,1.34,12.18
425.36,3.85,5.21,1.32,12.21
426.14,4.39,5.05,1.30,12.23
426.93,4.92,4.88,1.73,11.76
427.71,5.46,3.89,2.15,11.28
428.50,5.59,3.24,2.96,9.92
429.29,5.72,2.58,3.77,8.57
430.07,5.46,2.36,4.47,7.45
430.86,5.34,2.14,5.17,6.33
431.64,5.23,2.37,5.38,5.21
432.43,5.22,2.61,4.66,4.41
433.21,5.20,2.61,3.94,3.60
434.00,5.46,2.61,2.74,3.96
434.79,5.72,2.03,1.54,4.32
435.57,6.47,2.09,0.77,4.88
436.36,7.22,2.15,0.00,5.44
437.14,9.10,2.75,0.02,5.50
437.93,9.59,3.35,0.03,5.56
438.71,10.09,4.08,0.28,5.63
439.50,9.98,4.80,0.53,5.50
440.29,9.87,5.08,0.68,5.38
441.07,9.53,5.36,0.71,5.19
441.86,9.19,4.66,0.75,4.99
442.64,8.25,4.17,0.90,4.38
443.43,7.49,3.67,1.04,3.76
444.21,6.74,3.43,1.19,3.03
445.00,6.05,3.19,1.35,2.29
445.79,5.35,2.98,1.59,1.56
446.57,5.32,2.78,1.84,0.78
447.36,5.28,2.47,2.34,0.00
448.14,6.27,2.17,2.85,0.00
448.93,6.52,1.98,4.09,0.00
449.71,6.78,2.36,4.52,0.61
450.50,6.38,2.74,4.95,1.22
451.29,5.99,3.38,5.08,1.83
452.07,5.34,4.01,5.22,2.60
452.86,4.70,4.46,4.94,3.37
453.64,4.40,4.91,4.67,3.46
454.43,4.09,4.97,3.94,3.55
455.21,4.26,5.02,3.20,3.47
456.00,4.21,4.44,2.34,3.39
456.79,4.17,4.16,1.47,3.54
457.57,3.57,3.88,0.70,3.70
458.36,2.97,3.90,1.10,3.86
459.14,2.03,3.92,1.49,4.06
459.93,1.09,4.08,2.36,4.26
460.71,0.00,4.23,3.22,3.90
461.50,0.29,4.25,4.18,3.55
462.29,0.57,4.28,5.13,3.19
463.07,1.50,4.04,5.89,2.84
463.86,2.42,3.84,6.64,2.49
464.64,3.64,3.65,6.96,2.29
465.43,4.85,3.48,6.48,2.09
466.21,6.08,3.30,6.00,1.77
467.00,7.30,3.24,5.23,1.46
467.79,8.54,3.18,4.46,0.83
468.57,8.13,3.01,3.57,0.21
469.36,7.72,2.85,2.67,0.14
470.14,6.90,1.97,1.75,0.07
470.93,6.08,1.73,0.84,0.00
471.71,5.85,1.48,0.42,0.00
472.50,5.61,1.91,0.00,0.00
473.29,6.58,2.33,0.62,0.19
474.07,7.03,2.94,1.49,0.37
474.86,7.49,3.54,2.36,0.34
475.64,7.34,3.58,2.90,0.30
476.43,7.19,3.61,3.44,0.20
477.21,6.46,2.79,3.30,0.10
478.00,5.73,2.60,3.17,0.00
478.79,4.83,2.42,2.80,0.16
479.57,3.94,2.74,2.44,0.32
480.36,2.78,3.05,2.26,1.93
481.14,2.65,3.60,2.08,3.54
481.93,2.53,4.15,1.98,5.62
482.71,2.69,4.47,2.05,7.69
483.50,2.84,4.80,2.13,9.77
484.29,3.15,4.46,2.35,13.23
485.07,3.46,4.11,2.58,16.69
485.86,3.89,3.76,2.58,19.63
486.64,3.57,3.75,2.59,22.58
487.43,3.26,3.74,2.09,25.57
488.21,2.49,4.04,1.60,28.57
489.00,1.73,4.35,0.98,30.97
489.79,1.06,4.73,0.36,33.38
490.57,0.38,5.11,0.04,35.79
491.36,0.00,5.99,0.41,38.73
492.14,0.57,6.23,0.77,41.67
492.93,1.15,6.46,1.32,42.43
493.71,2.40,5.96,1.87,43.19
494.50,3.66,5.45,2.58,42.79
495.29,4.83,4.33,3.29,42.38
496.07,6.01,3.21,4.20,41.98
496.86,6.47,2.19,5.11,42.11
497.64,6.92,1.17,5.62,42.25
498.43,6.31,0.14,6.12,44.37
499.21,5.51,0.19,4.96,46.49
500.00,4.71,0.24,3.59,50.95
501.00,3.91,0.71,2.22,55.42
502.05,3.12,1.19,1.11,59.95
503.11,2.83,1.71,0.00,64.48
504.16,2.54,2.22,0.00,69.02
505.21,2.97,2.44,0.00,77.31
506.27,3.26,2.25,0.45,85.60
507.32,3.55,2.06,0.89,92.63
508.37,3.66,2.24,1.13,99.67
509.43,3.77,2.41,1.38,100.79
510.48,3.85,3.22,1.16,101.91
511.53,3.93,4.03,1.12,96.61
512.59,4.11,4.86,1.08,91.31
513.64,4.28,5.69,1.15,86.01
514.69,4.57,6.02,1.21,71.43
515.74,4.63,5.56,1.37,56.86
516.80,4.69,5.11,1.54,42.32
517.85,4.70,4.34,2.05,27.79
518.90,4.71,3.58,2.55,21.44
519.96,4.83,2.69,3.54,15.10
521.01,4.94,1.80,3.43,8.76
522.06,5.48,1.09,3.32,4.38
523.12,5.41,0.38,2.98,0.00
524.17,5.33,0.00,2.64,0.00
525.22,4.54,0.27,2.63,0.00
526.28,3.75,0.55,2.62,0.00
527.33,2.88,1.25,2.54,0.00
528.38,2.01,1.95,2.45,0.00
529.44,1.67,2.53,1.82,0.00
530.49,2.05,3.11,1.19,0.00
531.54,2.43,3.19,0.00,0.00
532.60,2.77,3.28,0.00,0.00
533.65,3.11,2.72,0.00,0.00
534.70,3.37,2.30,0.38,0.00
535.76,3.64,1.89,0.75,0.00
536.81,3.94,1.49,1.85,0.00
537.86,4.24,1.09,2.96,0.00
538.91,4.61,0.98,4.45,0.21
539.97,4.57,0.86,5.94,0.41
541.02,4.54,1.37,7.32,0.59
542.07,4.45,1.87,8.70,0.77
543.13,4.37,4.20,10.26,0.59
544.18,4.48,5.30,10.29,0.40
545.23,4.58,6.40,10.31,0.27
546.29,5.19,6.30,9.48,0.13
547.34,5.39,6.19,8.64,0.00
548.39,5.60,4.76,6.99,0.00
549.45,5.44,3.34,5.35,0.00
550.50,5.28,2.05,3.58,0.00
551.55,4.94,0.76,1.82,0.00
552.61,4.60,0.34,0.93,0.12
553.66,4.65,0.57,0.04,0.25
554.71,4.69,0.79,0.48,0.32
555.77,5.82,0.72,0.95,0.38
556.82,6.50,0.65,1.42,0.45
557.87,7.18,0.66,1.25,0.57
558.93,7.86,0.67,1.08,0.69
559.98,8.54,0.92,0.54,1.45
561.03,9.47,1.17,0.00,2.22
562.09,10.40,1.73,0.00,3.19
563.14,12.72,2.15,0.00,4.17
564.19,13.98,2.56,0.12,5.15
565.24,15.24,3.19,0.25,6.54
566.30,16.43,3.81,6.61,7.93
567.35,17.61,4.30,14.61,9.10
568.40,18.33,4.80,22.62,10.26
569.46,19.06,4.89,35.21,11.87
570.51,18.91,4.98,47.79,13.48
571.56,18.75,4.65,60.16,14.90
572.62,16.61,4.46,72.52,16.33
573.67,15.14,4.26,77.12,17.76
574.72,13.68,4.26,81.71,19.96
575.78,12.49,4.26,74.59,22.16
576.83,11.31,4.75,67.47,24.44
577.88,10.60,5.23,38.32,26.73
578.94,9.90,6.16,25.20,28.46
579.99,8.70,7.09,12.08,30.20
581.04,7.75,9.09,6.04,31.94
582.10,6.81,10.16,0.00,35.10
583.15,5.62,11.22,1.87,38.25
584.20,4.44,12.64,3.75,42.68
585.26,3.66,14.06,7.81,47.11
586.31,2.89,15.71,11.87,53.68
587.36,2.72,17.36,16.75,60.25
588.41,2.91,18.94,16.11,65.94
589.47,3.09,20.51,15.48,71.63
590.52,3.03,23.84,13.34,77.31
591.57,2.97,25.58,11.20,85.70
592.63,2.77,27.33,10.44,94.08
593.68,2.58,28.32,9.68,98.74
594.73,2.74,29.31,11.84,103.41
595.79,2.90,28.88,13.99,102.38
596.84,4.04,28.45,18.49,101.36
597.89,4.66,26.95,22.99,98.43
598.95,5.28,25.45,34.10,95.49
600.00,5.64,21.23,39.59,92.56
601.00,6.00,18.48,45.07,89.22
602.27,5.81,15.72,49.16,85.89
603.54,5.62,12.72,53.26,85.96
604.81,4.36,9.72,54.67,86.03
606.08,3.94,7.69,56.08,88.03
607.35,3.53,5.66,54.65,90.04
608.62,3.52,5.30,53.22,92.04
609.88,3.51,4.94,50.24,96.94
611.15,3.48,6.09,47.25,101.84
612.42,3.46,6.43,41.14,108.09
613.69,3.35,6.76,38.46,114.34
614.96,3.25,6.45,35.78,121.29
616.23,3.65,6.14,33.50,128.24
617.50,4.28,5.41,31.22,133.21
618.77,4.91,4.67,29.59,138.17
620.04,5.50,3.98,27.95,143.13
621.31,6.09,3.30,26.59,152.50
622.58,6.02,3.08,25.23,161.87
623.85,5.95,3.48,23.22,175.11
625.12,4.51,3.87,21.20,188.35
626.38,3.85,4.07,15.61,199.98
627.65,3.19,4.27,13.03,211.60
628.92,3.18,3.98,10.45,223.22
630.19,3.17,3.69,11.22,243.18
631.46,3.65,3.40,12.00,263.13
632.73,4.13,3.11,15.03,283.23
634.00,4.46,3.55,18.06,303.33
635.27,4.78,4.20,22.68,322.00
636.54,4.33,4.84,27.29,340.66
637.81,3.80,5.23,32.40,351.91
639.08,3.28,5.62,37.51,363.16
640.35,3.01,5.21,47.53,374.41
641.62,2.74,4.80,51.60,390.27
642.88,2.89,3.91,55.67,406.13
644.15,3.03,3.02,57.72,422.49
645.42,3.51,1.52,59.77,438.86
646.69,3.65,0.99,60.01,456.23
647.96,3.79,0.47,60.26,473.61
649.23,3.86,0.23,60.45,484.81
650.50,3.94,0.00,60.65,496.00
651.77,3.81,0.50,62.34,507.20
653.04,3.69,1.01,64.03,522.07
654.31,3.06,2.24,71.51,536.94
655.58,3.12,3.47,77.41,551.09
656.85,3.19,5.72,83.30,565.25
658.12,3.74,6.14,90.47,576.14
659.38,4.30,6.57,97.65,587.04
660.65,4.37,6.64,104.12,597.93
661.92,4.45,6.70,110.59,618.53
663.19,3.62,6.84,114.95,639.12
664.46,2.79,6.98,119.32,663.53
665.73,1.36,7.00,124.78,687.93
667.00,1.62,7.02,127.48,714.10
668.27,1.89,6.43,130.19,740.28
669.54,2.59,6.06,133.92,757.90
670.81,3.29,5.69,137.65,775.52
672.08,3.45,5.38,142.08,793.15
673.35,3.61,5.06,146.52,819.22
674.62,2.58,4.72,150.95,845.29
675.88,2.00,4.38,155.39,871.35
677.15,1.43,4.19,159.36,897.41
678.42,1.30,4.00,163.34,917.19
679.69,1.16,4.52,169.10,936.98
680.96,1.47,5.02,170.54,956.76
682.23,1.78,5.53,171.99,996.37
683.50,2.40,6.03,173.59,1035.99
684.77,3.01,6.53,175.20,1087.98
686.04,4.24,6.97,179.73,1139.97
687.31,4.42,7.42,184.26,1197.74
688.58,4.60,7.78,192.67,1255.50
689.85,4.41,8.15,201.08,1289.56
691.12,4.23,8.74,211.79,1323.61
692.38,4.10,9.08,222.50,1357.66
693.65,3.98,9.41,244.18,1392.27
694.92,3.69,9.70,253.11,1426.88
696.19,3.25,9.99,262.04,1446.28
697.46,2.81,9.97,267.41,1465.69
698.73,2.15,9.96,272.78,1483.76
700.00,1.49,9.54,274.70,1501.83
701.00,0.91,9.13,276.62,1523.96
702.90,0.32,7.97,277.25,1546.10
704.81,0.00,7.85,277.88,1568.23
706.71,0.48,7.73,279.67,1623.14
708.62,0.95,8.52,281.46,1678.05
710.52,1.82,9.31,290.32,1749.05
712.42,2.68,10.42,297.64,1820.06
714.33,3.24,11.53,304.96,1870.58
716.23,3.79,11.99,314.10,1921.10
718.13,3.88,12.45,323.23,1971.62
720.04,3.97,12.09,332.21,2043.57
721.94,3.88,11.92,341.19,2115.51
723.85,3.71,11.74,348.66,2184.18
725.75,3.53,11.74,356.13,2252.85
727.65,3.27,11.74,362.53,2327.04
729.56,3.00,11.73,368.93,2401.23
731.46,3.11,11.72,382.79,2460.71
733.37,3.22,11.74,391.48,2520.20
735.27,4.42,11.75,400.17,2579.68
737.17,4.76,11.85,410.48,2689.48
739.08,5.10,11.80,420.80,2799.27
740.98,4.53,11.75,431.49,2933.48
742.88,3.96,11.70,442.18,3067.68
744.79,2.92,11.64,452.14,3178.18
746.69,1.88,11.72,462.10,3288.68
748.60,1.42,11.79,471.04,3399.18
750.50,0.95,11.96,479.98,3606.99
752.40,1.82,12.12,495.15,3814.80
754.31,2.40,12.54,500.40,4066.52
756.21,2.98,12.72,505.64,4318.24
758.12,3.13,12.90,508.12,4588.29
760.02,3.28,12.95,510.60,4858.33
761.92,3.25,12.99,511.98,5014.90
763.83,3.22,13.15,513.37,5171.46
765.73,3.43,13.32,516.45,5328.02
767.63,3.60,14.00,519.54,5482.17
769.54,3.78,14.69,532.56,5636.32
771.44,3.87,17.05,543.06,5716.89
773.35,3.97,18.42,553.56,5797.47
775.25,3.85,19.78,569.23,5863.80
777.15,3.74,21.54,584.89,5930.13
779.06,3.49,23.30,609.72,6010.87
780.96,3.24,26.42,634.55,6091.61
782.87,3.20,29.54,680.17,6172.36
784.77,3.50,35.47,725.79,6399.63
786.67,3.80,41.39,818.71,6626.91
788.58,4.18,61.71,911.62,6989.01
790.48,4.55,76.13,1269.06,7351.11
792.38,5.00,90.56,1554.74,7669.57
794.29,5.45,105.74,1840.42,7988.03
796.19,6.42,120.93,2192.36,8306.50
798.10,6.48,130.51,2544.29,8801.51
800.00,6.53,140.08,2843.48,9296.53
801.00,5.93,139.01,3142.67,9671.82
803.41,5.34,137.93,3242.16,10047.12
805.83,4.48,114.99,3341.65,10251.32
808.24,3.62,98.78,3173.79,10455.51
810.66,2.28,82.58,3005.94,10540.39
813.07,1.93,68.56,2304.39,10625.26
815.49,1.58,54.55,1946.34,10710.13
817.90,1.41,46.08,1588.29,10872.78
820.32,1.23,37.61,1348.26,11035.42
822.73,1.03,29.78,1108.23,11226.35
825.15,0.84,28.28,998.05,11417.29
827.56,0.78,26.79,887.87,11527.84
829.98,0.72,26.67,858.57,11638.39
832.39,1.22,26.54,829.27,11748.95
834.80,1.46,27.29,838.78,11920.97
837.22,1.69,28.03,848.30,12092.99
839.63,1.82,29.22,909.13,12349.04
842.05,1.96,30.41,953.72,12605.10
844.46,2.48,33.71,998.30,12971.02
846.88,3.01,35.51,1049.20,13336.94
849.29,4.85,37.31,1100.10,13644.91
851.71,5.48,38.42,1145.49,13952.87
854.12,6.12,39.54,1190.87,14260.83
856.54,6.26,39.73,1218.81,14815.35
858.95,6.40,39.92,1246.75,15369.86
861.37,6.26,39.87,1252.18,16009.79
863.78,6.12,39.83,1257.61,16649.72
866.20,5.43,40.37,1236.18,17338.78
868.61,4.74,40.71,1222.59,18027.83
871.02,2.45,41.06,1208.99,18491.88
873.44,1.89,41.19,1201.70,18955.93
875.85,1.32,41.31,1194.40,19419.98
878.27,1.75,41.47,1193.43,20108.02
880.68,2.18,41.63,1192.47,20796.06
883.10,2.72,42.01,1194.23,21481.28
885.51,3.26,42.39,1195.99,22166.50
887.93,3.08,43.03,1199.42,22628.23
890.34,2.41,43.11,1202.86,23089.96
892.76,1.75,43.20,1216.23,23551.69
895.17,1.07,43.18,1228.29,24285.27
897.59,0.39,43.15,1240.35,25018.86
900.00,0.45,43.32,1259.07,25858.82
901.00,0.50,43.49,1277.78,26698.78
904.54,2.32,44.28,1301.96,27691.02
908.07,3.15,45.07,1326.14,28683.26
911.61,3.98,48.25,1352.40,29425.25
915.14,3.82,50.02,1378.66,30167.24
918.68,3.67,51.79,1428.47,30909.23
922.21,2.77,53.09,1450.55,32055.99
925.75,1.88,54.40,1472.62,33202.76
929.29,1.42,55.58,1495.55,34326.01
932.82,0.96,56.77,1518.48,35449.26
936.36,2.37,58.63,1559.92,36191.93
939.89,3.62,60.49,1601.36,36934.61
943.43,4.87,68.84,1727.98,37677.29
946.96,5.86,81.35,1854.61,38820.71
950.50,6.86,93.86,2271.10,39964.13
954.04,8.16,127.87,2687.60,41133.83
957.57,9.47,161.88,4895.51,42303.52
961.11,15.76,233.44,7088.61,43487.32
964.64,21.23,305.00,9281.71,44671.11
968.18,26.71,420.45,12523.00,45517.99
971.71,32.85,535.91,15764.28,46364.86
975.25,38.98,818.21,19202.40,47211.74
978.79,43.02,937.53,22640.53,48633.75
982.32,47.06,1056.84,24793.24,50055.77
985.86,47.14,1096.57,26945.96,51502.36
989.39,47.22,1136.30,26635.54,52948.94
992.93,39.71,1070.21,26325.13,54236.74
996.46,34.15,1004.12,21087.84,55524.55
1000.00,28.59,865.35,17570.62,56244.09
1001.00,23.58,726.58,14053.40,56963.64
1006.10,18.58,438.94,11106.68,57683.19
1011.21,15.11,338.37,8159.95,58439.60
1016.31,11.64,237.81,6371.92,59196.02
1021.41,7.41,186.35,4583.89,59448.23
1026.51,6.36,134.89,3751.79,59700.45
1031.62,5.31,114.47,2919.69,59650.23
1036.72,5.04,94.05,2612.64,59600.00
1041.82,4.78,86.99,2305.58,59549.78
1046.92,4.90,79.93,2115.37,59591.59
1052.03,5.02,74.05,2079.26,59633.41
1057.13,5.14,71.83,2043.15,59919.88
1062.23,5.27,69.61,2010.26,60206.36
1067.33,4.90,67.31,1977.36,60510.36
1072.44,4.42,65.00,1938.25,60814.36
1077.54,3.95,62.97,1899.14,60921.94
1082.64,3.67,60.95,1862.60,61029.52
1087.74,3.39,59.96,1826.05,61137.11
1092.85,3.62,58.96,1802.74,61185.64
1097.95,3.84,59.28,1779.43,61234.18
1103.05,5.00,60.09,1769.45,61231.91
1108.15,5.55,60.89,1779.76,61229.65
1113.26,6.10,61.78,1790.08,61191.92
1118.36,6.18,62.66,1804.70,61154.19
1123.46,6.26,62.99,1819.33,61116.46
1128.56,5.80,63.33,1823.71,60971.17
1133.67,5.35,62.52,1828.10,60825.88
1138.77,4.32,61.71,1813.32,60626.27
1143.87,4.17,58.20,1798.55,60426.66
1148.97,4.01,56.63,1769.74,60276.70
1154.08,4.15,55.06,1740.93,60126.73
1159.18,4.28,54.70,1689.07,60082.89
1164.28,4.38,54.35,1681.78,60039.05
1169.38,4.49,55.19,1674.48,59995.21
1174.49,4.25,56.02,1689.61,59938.25
1179.59,4.02,57.59,1704.74,59881.30
1184.69,2.51,59.16,1734.32,59764.07
1189.79,1.59,63.33,1763.91,59646.85
1194.90,0.68,65.42,1795.06,59439.97
1200.00,0.49,67.51,1826.21,59233.10
1201.00,0.29,68.56,1865.54,59005.46
1210.06,1.13,69.61,1863.21,58777.84
1219.12,1.96,69.06,1860.89,58550.20
1228.18,4.24,68.51,1834.44,58030.37
1237.24,4.92,66.85,1808.00,57510.53
1246.30,5.60,65.20,1766.73,56781.12
1255.36,5.64,61.89,1725.46,56051.70
1264.42,5.68,61.03,1682.26,55393.51
1273.48,5.27,60.16,1639.07,54735.32
1282.55,4.86,59.94,1601.77,54077.12
1291.61,4.49,59.72,1564.48,52825.56
1300.67,4.11,59.40,1509.21,51574.00
1309.73,4.50,59.08,1494.11,50168.34
1318.79,5.23,58.41,1479.01,48762.68
1327.85,5.95,57.74,1475.41,47422.71
1336.91,6.55,56.36,1471.80,46082.73
1345.97,7.14,55.54,1471.46,45488.08
1355.03,7.15,54.72,1471.13,44893.43
1364.09,7.15,53.38,1462.72,44298.78
1373.15,6.35,52.04,1454.32,44346.24
1382.21,5.80,50.46,1431.40,44393.70
1391.27,5.24,48.87,1408.48,45423.02
1400.33,4.54,47.49,1337.46,46452.35
1409.39,3.84,46.10,1296.30,47200.22
1418.45,3.15,43.26,1255.14,47948.09
1427.52,2.46,41.75,1214.76,48695.96
1436.58,2.17,40.23,1174.38,48672.95
1445.64,1.88,39.30,1138.00,48649.95
1454.70,2.31,38.36,1101.61,46958.65
1463.76,2.72,38.18,1069.72,45267.35
1472.82,3.13,37.99,1037.82,42293.23
1481.88,3.38,37.71,1009.52,39319.12
1490.94,3.62,37.42,981.23,36957.76
1500.00,3.55,35.60,930.17,34596.41
1501.00,3.47,34.48,907.51,32235.05
1514.13,2.50,33.37,884.84,28770.32
1527.26,1.89,32.72,865.28,25305.60
1540.39,1.28,32.06,845.72,22442.85
1553.53,1.24,32.07,828.61,19580.10
1566.66,1.21,32.07,811.49,17596.60
1579.79,2.05,32.05,795.62,15613.10
1592.92,2.88,32.03,779.74,14794.68
1606.05,4.81,30.42,764.29,13976.27
1619.18,5.11,29.22,748.84,13157.86
1632.32,5.40,28.02,719.30,12340.12
1645.45,5.22,27.31,706.58,11522.38
1658.58,5.04,26.61,693.86,10876.51
1671.71,5.03,26.53,684.75,10230.64
1684.84,5.02,26.46,675.64,9878.88
1697.97,5.31,26.61,670.11,9527.12
1711.11,5.60,26.76,664.57,9175.36
1724.24,6.23,27.19,659.86,8770.23
1737.37,6.29,27.59,655.15,8365.09
1750.50,6.35,27.99,647.18,8064.26
1763.63,5.88,28.56,639.22,7763.42
1776.76,5.41,29.13,611.55,7534.69
1789.89,4.53,29.70,593.44,7305.97
1803.03,3.64,30.26,575.33,7185.35
1816.16,2.47,30.60,563.62,7064.74
1829.29,2.62,30.94,551.91,6944.12
1842.42,2.78,30.14,575.65,6794.25
1855.55,3.07,28.56,599.38,6644.39
1868.68,3.37,26.98,711.02,6508.73
1881.82,3.00,25.14,822.67,6373.07
1894.95,2.63,23.30,1334.36,6279.73
1908.08,1.92,23.72,1745.23,6186.38
1921.21,1.22,24.14,2156.11,6093.04
1934.34,1.50,29.77,2639.51,5930.09
1947.47,3.01,35.41,3122.91,5767.13
1960.61,4.52,61.12,3502.98,5570.88
1973.74,6.65,80.98,3883.05,5374.63
1986.87,8.79,100.84,3971.21,5154.51
2000.00,10.50,124.11,4059.37,4934.38
2001.00,12.21,147.38,3790.84,4787.92
2015.91,13.96,166.87,3522.31,4641.46
2030.82,13.99,186.37,2529.98,4495.01
2045.73,14.03,193.71,2032.19,4294.90
2060.64,13.15,201.04,1534.39,4094.79
2075.55,12.28,182.61,1187.94,3918.39
2090.46,10.64,160.76,841.49,3741.99
2105.37,9.00,138.91,661.07,3585.34
2120.28,5.58,114.52,480.65,3428.69
2135.19,4.55,90.12,404.72,3335.51
2150.10,3.52,71.55,328.79,3242.34
2165.01,3.22,52.97,298.21,3149.16
2179.93,2.91,42.10,267.64,3026.89
2194.84,2.77,31.23,237.39,2904.63
2209.75,2.63,20.73,227.99,2802.29
2224.66,2.17,18.71,218.58,2699.95
2239.57,1.71,16.69,212.48,2646.70
2254.48,0.44,15.80,206.38,2593.45
2269.39,0.22,14.90,202.45,2540.20
2284.30,0.00,13.74,198.52,2482.55
2299.21,0.36,12.58,195.65,2424.91
2314.12,0.73,11.29,192.78,2382.48
2329.03,1.18,10.01,190.08,2340.05
2343.94,1.64,8.85,187.39,2297.30
2358.85,2.10,9.13,180.77,2254.54
2373.76,2.12,9.41,176.22,2213.34
2388.67,2.15,9.86,171.68,2172.14
2403.58,1.99,10.30,166.26,2130.93
2418.49,1.83,10.26,160.83,2040.10
2433.40,1.86,10.22,155.91,1949.26
2448.31,1.90,9.70,150.99,1833.85
2463.22,2.64,9.19,147.88,1718.45
2478.13,3.39,7.94,144.76,1633.48
2493.04,5.43,7.31,143.41,1548.51
2507.96,5.80,6.68,142.06,1463.54
2522.87,6.17,6.09,139.47,1337.95
2537.78,5.76,5.49,136.43,1212.37
2552.69,5.36,5.04,133.38,1101.93
2567.60,4.68,4.60,128.52,991.49
2582.51,4.01,4.31,123.66,905.49
2597.42,3.03,4.01,118.12,819.49
2612.33,2.91,3.71,112.57,779.72
2627.24,2.79,3.65,107.04,739.94
2642.15,2.72,3.60,101.50,700.16
2657.06,2.65,3.26,96.25,662.73
2671.97,2.19,2.92,91.00,625.29
2686.88,1.74,2.11,82.27,602.56
2701.79,1.07,1.30,79.33,579.83
2716.70,0.40,0.66,76.40,560.39
2731.61,0.00,0.01,74.63,540.94
2746.52,0.54,0.00,72.87,520.65
2761.43,1.08,0.36,71.40,500.37
2776.34,1.84,0.72,69.93,480.08
2791.25,2.60,1.05,68.22,429.43
2806.16,2.92,1.38,66.50,378.78
2821.07,3.24,1.84,62.85,312.15
2835.99,3.15,2.30,61.08,245.52
2850.90,3.17,2.86,59.32,200.50
2865.81,3.20,3.41,57.35,155.48
2880.72,3.27,4.16,55.38,110.45
2895.63,3.33,4.16,53.02,55.23
2910.54,3.30,4.16,50.67,0.00
2925.45,3.27,3.84,48.27,0.00
2940.36,3.20,3.52,45.87,0.00
2955.27,3.29,3.19,43.78,0.00
2970.18,3.38,2.85,41.69,0.00
2985.09,3.83,2.64,37.75,0.00
3000.00,4.27,2.83,35.70,0.00
3001.00,5.02,3.03,33.65,0.00
3028.02,5.76,3.41,31.84,0.00
3055.04,6.31,3.79,30.04,0.00
3082.05,6.86,3.96,29.07,0.00
3109.07,7.20,4.12,28.10,0.00
3136.09,7.08,3.92,28.18,0.07
3163.11,6.97,3.72,28.26,0.14
3190.13,6.53,3.45,29.20,0.21
3217.14,6.10,3.60,30.13,1.08
3244.16,5.45,3.74,32.89,1.96
3271.18,4.81,3.79,33.99,2.48
3298.20,3.84,3.85,35.08,3.01
3325.22,3.83,3.75,35.08,2.28
3352.23,3.82,3.65,35.07,1.56
3379.25,4.20,3.67,33.67,1.04
3406.27,4.59,3.69,32.28,0.52
3433.29,4.89,3.73,29.66,0.00
3460.31,5.19,3.45,27.05,0.00
3487.32,5.02,3.16,23.82,0.00
3514.34,4.85,2.73,20.60,4.64
3541.36,3.78,2.29,15.11,9.28
3568.38,3.24,1.90,13.45,18.97
3595.40,2.71,1.51,11.79,28.65
3622.41,2.52,1.15,10.60,37.88
3649.43,2.34,0.79,9.42,47.11
3676.45,2.57,0.25,7.98,56.34
3703.47,2.81,0.14,6.54,73.00
3730.49,3.57,0.03,5.09,89.67
3757.50,3.69,0.02,3.64,107.34
3784.52,3.82,0.00,2.84,125.02
3811.54,3.56,0.08,2.03,135.67
3838.56,3.30,0.17,1.99,146.31
3865.58,3.02,0.40,2.27,156.96
3892.59,2.74,0.63,2.54,167.20
3919.61,2.78,0.93,2.65,177.44
3946.63,2.82,0.77,2.76,178.26
3973.65,2.84,0.60,2.78,179.08
4000.67,2.44,0.30,2.80,169.98
4027.68,2.04,0.00,2.99,160.88
4054.70,1.59,0.00,3.19,150.25
4081.72,1.14,0.00,3.48,139.63
4108.74,1.21,0.48,3.77,129.00
4135.76,1.28,0.97,3.77,111.05
4162.77,2.19,1.86,3.32,93.09
4189.79,2.38,1.71,2.87,77.67
4216.81,2.56,1.57,2.18,62.25
