Size (bp),A2,A3,A4,A5
67.61,4.98,3.62,2.68,2.31
68.03,4.23,4.00,2.23,2.40
68.45,2.79,4.38,2.82,2.50
68.88,2.21,4.64,3.41,2.59
69.30,1.62,4.89,4.65,2.57
69.72,1.37,4.96,5.88,2.56
70.14,1.12,5.03,6.57,2.85
70.56,1.29,4.86,7.25,3.15
70.98,1.46,4.62,6.09,3.18
71.40,1.79,4.39,4.95,3.22
71.82,2.12,4.24,3.82,3.26
72.24,2.89,4.10,3.18,2.62
72.66,3.41,4.27,2.53,1.99
73.08,3.93,4.44,2.37,1.41
73.50,4.29,4.54,2.21,0.83
73.92,4.65,4.65,1.94,0.92
74.34,4.44,3.84,1.66,1.01
74.76,4.23,3.27,1.20,1.02
75.18,3.09,2.70,0.75,1.03
75.61,2.81,2.37,0.16,1.05
76.03,2.54,2.04,0.08,0.73
76.45,2.98,1.71,0.00,0.41
76.87,3.41,1.37,0.00,0.74
77.29,4.43,0.86,0.00,1.07
77.71,5.44,0.34,0.00,2.46
78.13,7.63,0.00,0.00,3.85
78.55,8.32,0.65,0.00,4.74
78.97,9.00,1.30,0.00,5.64
79.39,9.07,2.46,0.00,6.54
79.81,9.14,3.63,0.00,7.05
80.23,8.70,4.59,0.00,7.56
80.65,8.25,5.55,0.00,7.76
81.07,7.64,5.78,0.00,7.96
81.49,7.02,6.01,0.00,8.30
81.91,5.97,4.90,0.00,8.64
82.33,5.38,4.10,0.00,8.98
82.76,4.80,3.30,0.00,9.68
83.18,3.91,2.82,0.00,10.38
83.60,3.02,2.35,0.00,10.89
84.02,2.06,2.47,1.66,11.41
84.44,1.09,2.60,2.12,11.64
84.86,0.00,3.23,2.58,11.87
85.28,0.01,3.87,2.71,11.81
85.70,0.01,4.82,2.85,11.75
86.12,0.41,4.68,2.95,11.69
86.54,0.82,4.55,3.06,11.21
86.96,1.46,4.14,3.18,10.73
87.38,2.11,3.74,3.30,10.15
87.80,2.79,3.39,3.16,9.56
88.22,3.48,3.04,3.01,9.51
88.64,4.18,2.65,2.08,9.46
89.06,4.11,2.26,1.51,9.41
89.48,4.05,1.23,0.95,9.94
89.91,3.90,0.78,0.47,10.47
90.33,3.76,0.32,0.00,10.85
90.75,3.65,0.45,0.00,11.24
91.17,3.54,0.58,0.00,10.90
91.59,3.17,1.41,0.70,10.57
92.01,3.08,2.25,1.40,10.25
92.43,2.98,2.93,2.19,9.93
92.85,3.13,3.60,2.98,9.61
93.27,3.29,3.01,2.98,10.03
93.69,3.67,2.13,2.44,10.44
94.11,4.06,1.26,1.90,11.92
94.53,5.37,0.65,1.34,13.40
94.95,6.20,0.04,0.78,15.12
95.37,7.04,0.02,0.39,16.83
95.79,7.68,0.00,0.00,17.52
96.21,8.33,0.37,0.22,18.21
96.64,8.47,0.74,0.43,18.90
