Size (bp),G1: 10454879 	Wang	Ph0,G2: 10454879 	Wang	Ph1,G3: 10454879 	Wang	Ph2,G4: 10454879 	Wang	Ctrl,G5: 10454879 	Wang	FoxA
298.10,1.50,3.27,2.17,2.78,0.82
298.73,1.79,2.68,1.77,2.68,1.05
299.37,2.19,1.93,1.36,2.15,1.27
300.00,2.59,1.18,1.17,1.63,1.55
301.00,2.77,0.88,0.98,1.33,1.83
301.75,2.96,0.59,0.77,1.03,2.04
302.50,2.80,0.83,0.72,0.92,2.24
303.25,2.65,1.07,0.67,0.82,2.33
304.00,2.26,1.36,0.82,0.59,2.41
304.75,1.87,1.65,0.97,0.36,2.43
305.50,1.49,1.80,1.26,0.18,2.44
306.25,1.11,1.95,1.54,0.00,2.57
307.00,1.03,2.22,1.74,0.17,2.71
307.75,0.95,2.48,1.93,0.34,3.17
308.50,1.18,2.97,1.92,0.72,3.63
309.25,1.41,3.45,1.91,1.09,4.75
310.00,1.66,4.30,1.75,1.25,4.74
310.75,1.91,4.34,1.59,1.41,4.74
311.50,1.92,4.38,1.43,1.47,3.91
312.25,1.92,4.09,1.28,1.52,3.08
313.00,1.60,3.81,1.32,1.74,2.06
313.75,1.28,3.56,1.37,1.96,1.05
314.50,0.86,3.30,1.62,2.21,0.52
315.25,0.43,3.28,1.88,2.47,0.00
316.00,0.00,3.25,2.11,2.65,0.04
316.75,0.06,3.50,2.34,2.83,0.09
317.50,0.13,3.74,2.29,3.02,0.48
318.25,0.35,4.18,2.25,3.21,0.87
319.00,0.57,4.63,1.94,3.36,1.29
319.75,0.85,5.01,1.64,3.51,1.72
320.50,1.14,5.40,1.37,3.44,1.99
321.25,1.35,5.33,1.11,3.37,2.26
322.00,1.56,5.27,1.19,3.08,2.45
322.75,1.59,4.69,1.28,2.80,2.64
323.50,1.61,4.10,1.64,2.36,2.68
324.25,1.66,3.41,2.00,2.48,2.73
325.00,1.71,2.73,2.32,2.59,2.47
325.75,2.10,2.42,2.64,2.87,2.21
326.50,2.48,2.12,2.59,3.14,1.94
327.25,2.95,2.24,2.55,3.25,1.67
328.00,3.41,2.35,1.75,3.37,1.99
328.75,3.44,2.62,1.37,3.34,2.43
329.50,3.47,2.89,0.99,3.32,2.86
330.25,3.22,3.15,0.81,3.37,3.08
331.00,2.96,3.42,0.62,3.41,3.30
331.75,2.90,3.64,0.41,3.62,3.19
332.50,2.83,3.86,0.19,3.83,3.08
333.25,3.02,3.86,0.10,4.09,2.99
334.00,3.21,3.86,0.00,4.34,2.90
334.75,3.47,3.23,0.39,4.52,3.00
335.50,3.74,2.80,0.78,4.69,3.10
336.25,3.92,2.36,1.35,4.76,3.00
337.00,4.10,2.09,1.91,4.84,2.91
337.75,3.91,1.83,2.14,4.93,2.44
338.50,3.49,1.89,2.37,5.02,1.97
339.25,3.07,1.95,2.48,5.59,1.66
340.00,2.67,2.18,2.59,6.15,1.35
340.75,2.27,2.41,2.84,7.74,1.62
341.50,2.31,2.49,3.10,9.33,1.89
342.25,2.36,2.58,3.25,11.85,2.45
343.00,2.78,2.53,3.41,14.38,3.00
343.75,3.20,2.47,3.32,16.95,3.36
344.50,3.55,2.55,3.23,19.53,3.73
345.25,3.90,2.63,2.99,21.11,3.67
346.00,3.84,2.94,2.75,22.68,3.62
346.75,3.79,3.26,2.62,22.60,3.14
347.50,3.42,3.61,2.50,22.51,2.66
348.25,3.06,3.96,2.85,20.70,1.53
349.00,2.69,4.12,3.19,18.88,1.43
349.75,2.31,4.29,3.87,15.98,1.32
350.50,2.16,4.23,4.54,13.08,1.80
351.25,2.01,4.18,4.88,7.75,2.27
352.00,2.10,4.09,5.21,6.35,2.71
352.75,2.20,3.99,4.96,4.94,3.14
353.50,2.41,4.03,4.70,4.59,3.01
354.25,2.62,4.07,3.88,4.23,2.87
355.00,2.70,4.17,3.67,4.23,2.42
355.75,2.78,4.26,3.46,4.23,1.96
356.50,2.51,4.25,3.28,4.22,1.68
357.25,2.24,4.25,3.10,4.21,1.40
358.00,1.70,4.09,2.73,4.07,1.42
358.75,1.15,4.01,2.36,3.93,1.44
359.50,0.75,3.93,1.95,3.86,1.67
360.25,0.34,3.82,1.53,3.79,1.90
361.00,0.41,3.70,1.39,4.06,2.20
361.75,0.61,3.56,1.24,4.33,2.49
362.50,0.80,3.42,1.44,4.56,2.63
363.25,0.69,3.42,1.65,4.78,2.77
364.00,0.57,3.42,1.93,4.53,2.73
364.75,0.29,3.66,2.22,4.28,2.69
365.50,0.00,3.89,2.12,3.95,2.69
366.25,0.13,4.21,2.02,3.62,2.68
367.00,0.25,4.53,1.49,3.53,2.63
367.75,0.85,4.67,0.96,3.45,2.47
368.50,1.46,4.80,0.60,3.19,2.32
369.25,2.02,4.55,0.24,2.93,2.39
370.00,2.58,4.30,0.52,2.31,2.47
370.75,2.76,3.83,0.80,1.69,2.84
371.50,2.94,3.36,1.34,1.31,3.21
372.25,2.72,3.20,1.87,0.92,3.31
373.00,2.51,3.04,2.07,1.42,3.40
373.75,2.18,3.43,2.27,1.93,3.03
374.50,1.85,3.82,2.13,3.04,2.66
375.25,1.84,4.36,1.99,4.15,2.22
376.00,1.84,4.90,1.80,4.83,1.78
376.75,2.12,5.05,1.62,5.51,1.50
377.50,2.41,5.21,1.47,5.02,1.23
378.25,2.67,4.98,1.33,4.39,1.05
379.00,2.93,4.74,1.26,3.77,0.86
379.75,3.03,4.45,1.19,3.46,0.69
380.50,3.14,4.17,1.46,3.15,0.52
381.25,2.95,3.76,1.74,3.32,0.56
382.00,2.76,3.71,2.02,3.49,0.61
382.75,1.65,3.65,2.17,3.88,1.15
383.50,1.08,3.92,2.32,4.26,1.70
384.25,0.50,4.18,2.35,4.43,2.41
385.00,0.30,4.55,2.38,4.60,3.11
385.75,0.11,4.92,2.64,4.43,3.32
386.50,0.28,4.71,2.89,4.25,3.52
387.25,0.45,4.50,3.33,4.00,2.87
388.00,0.68,3.50,3.77,3.74,2.57
388.75,0.90,2.50,3.96,3.58,2.27
389.50,0.96,1.45,4.16,3.42,2.21
390.25,1.01,0.41,4.11,3.36,2.14
391.00,0.92,0.20,4.06,3.30,2.09
391.75,0.82,0.00,4.03,3.31,2.03
392.50,0.87,0.67,4.00,3.33,1.85
393.25,0.91,1.34,3.81,3.30,1.67
394.00,1.27,2.26,3.63,3.27,1.46
394.75,1.63,3.18,3.01,3.10,1.26
395.50,1.97,3.66,2.39,2.93,1.22
396.25,2.30,4.14,1.60,2.86,1.17
397.00,2.28,4.19,0.81,2.78,1.40
397.75,2.25,4.23,0.41,2.98,1.62
398.50,2.07,4.32,0.00,3.17,1.94
399.25,1.88,4.40,0.10,3.27,2.26
400.00,1.77,4.58,0.21,3.36,2.38
401.00,1.66,4.76,0.53,2.94,2.49
401.79,1.63,4.75,0.85,2.51,2.37
402.57,1.61,4.75,1.26,1.75,2.25
403.36,1.73,4.68,1.66,1.00,2.15
404.14,1.86,4.61,2.24,0.50,2.04
404.93,2.05,4.66,2.82,0.00,2.10
405.71,2.25,4.71,3.38,0.00,2.15
406.50,2.35,4.83,3.93,0.30,2.35
407.29,2.41,4.76,4.37,0.61,2.44
408.07,2.46,4.69,4.20,0.78,2.53
408.86,2.74,4.46,4.03,0.96,2.58
409.64,3.01,4.23,3.68,0.86,2.64
410.43,3.31,3.95,3.33,0.76,2.35
411.21,3.62,3.67,3.19,0.55,2.06
412.00,3.67,3.63,3.05,0.35,1.39
412.79,3.72,3.58,3.33,0.40,0.72
413.57,3.54,3.95,3.60,0.45,0.36
414.36,3.36,4.31,3.98,0.91,0.00
415.14,3.14,4.69,4.37,1.37,0.30
415.93,2.92,5.06,4.36,1.97,0.60
416.71,2.77,4.89,4.35,2.56,1.14
417.50,2.61,4.71,3.76,2.96,1.69
418.29,2.46,4.09,3.17,3.37,2.01
419.07,2.31,3.46,2.30,3.51,2.34
419.86,2.16,2.85,1.42,3.66,2.44
420.64,2.00,2.25,0.92,3.57,2.55
421.43,1.97,1.84,0.42,3.49,2.55
422.21,1.94,1.42,0.70,3.26,2.56
423.00,2.10,1.32,0.97,3.03,2.50
423.79,2.26,1.21,1.61,2.87,2.44
424.57,2.46,1.63,2.24,2.72,2.38
425.36,2.65,2.05,2.48,2.62,2.32
426.14,2.60,2.77,2.73,2.52,2.64
426.93,2.54,3.49,2.36,2.30,3.02
427.71,2.23,4.05,2.00,2.07,3.40
428.50,1.91,4.61,1.36,1.88,3.50
429.29,1.83,4.85,0.73,1.69,3.60
430.07,1.74,5.09,0.37,1.81,3.27
430.86,2.51,5.05,0.00,1.94,2.95
431.64,2.75,5.06,0.22,2.09,2.77
432.43,2.99,5.06,0.43,2.23,2.60
433.21,2.57,5.50,1.76,2.07,2.69
434.00,2.14,5.93,2.33,1.90,2.78
434.79,1.44,6.86,2.91,1.60,2.59
435.57,0.74,7.79,3.19,1.87,2.39
436.36,0.37,9.14,3.48,2.13,1.93
437.14,0.00,10.49,3.61,2.63,1.47
437.93,0.07,13.10,3.74,3.13,1.38
438.71,0.13,15.70,3.73,3.58,1.30
439.50,0.46,21.44,3.72,4.03,1.80
440.29,0.80,27.18,3.61,4.36,2.29
441.07,0.92,37.24,3.50,4.68,2.80
441.86,1.05,47.30,3.50,4.60,3.30
442.64,0.81,60.29,3.51,4.51,3.17
443.43,0.56,73.28,3.54,3.73,3.03
444.21,0.41,85.01,3.56,2.94,2.27
445.00,0.25,96.73,3.30,1.90,1.52
445.79,0.53,101.58,3.04,0.85,0.97
446.57,0.81,106.43,2.67,0.42,0.42
447.36,1.06,100.69,2.29,0.00,0.96
448.14,1.31,94.94,2.17,0.57,1.55
448.93,1.08,80.79,2.05,1.14,2.14
449.71,0.84,66.63,2.09,2.04,2.20
450.50,0.42,51.48,2.13,2.94,2.26
451.29,0.00,36.33,2.07,3.27,1.79
452.07,0.01,26.36,2.01,3.61,1.33
452.86,0.02,16.40,2.06,3.41,1.02
453.64,1.21,12.07,2.11,3.20,0.71
454.43,2.02,7.74,2.52,3.13,0.80
455.21,2.82,4.56,2.94,3.06,0.89
456.00,3.27,3.67,3.47,3.21,0.86
456.79,3.72,2.78,4.00,3.36,0.82
457.57,3.57,2.20,4.18,3.30,0.41
458.36,3.43,1.62,4.35,3.24,0.00
459.14,3.02,1.45,4.02,2.95,0.00
459.93,2.62,1.27,3.68,2.67,0.00
460.71,2.30,1.39,2.50,2.52,0.00
461.50,1.98,1.50,2.09,2.36,0.00
462.29,1.72,1.73,1.69,2.36,0.68
463.07,1.45,1.95,1.91,2.21,1.35
463.86,1.31,2.33,2.13,2.06,1.97
464.64,1.16,2.71,2.95,1.67,2.58
465.43,1.38,3.18,3.77,1.27,2.92
466.21,1.60,3.65,4.42,1.01,3.27
467.00,2.06,3.74,5.07,0.75,3.23
467.79,2.53,3.83,4.76,1.02,3.10
468.57,2.73,3.47,4.45,1.28,2.97
469.36,2.94,3.11,3.41,1.78,2.90
470.14,2.57,2.95,2.36,2.27,2.83
470.93,2.20,2.79,1.57,2.39,2.52
471.71,1.55,3.11,0.79,2.52,2.21
472.50,0.90,3.43,0.76,2.21,1.56
473.29,0.66,3.60,0.73,1.91,0.91
474.07,0.43,3.77,1.09,1.49,0.46
474.86,0.86,3.37,1.45,1.07,0.00
475.64,1.29,2.98,1.86,0.72,0.25
476.43,1.80,2.45,2.27,0.38,0.50
477.21,2.31,1.91,2.65,0.20,1.18
478.00,2.58,1.70,3.04,0.02,1.85
478.79,2.57,1.49,3.19,0.07,2.36
479.57,2.56,1.66,3.34,0.13,2.88
480.36,2.68,1.94,3.19,0.42,3.21
481.14,2.81,2.21,3.03,0.71,3.54
481.93,2.94,2.58,2.90,1.17,3.82
482.71,3.08,2.94,2.77,1.64,4.10
483.50,2.86,3.07,2.81,2.07,4.11
484.29,2.65,3.19,2.85,2.50,4.11
485.07,2.03,3.02,2.82,2.72,3.72
485.86,1.41,2.86,2.80,2.94,3.34
486.64,0.85,2.74,2.66,2.94,2.88
487.43,0.28,2.62,2.52,2.95,2.42
488.21,0.14,2.47,2.55,2.76,1.74
489.00,0.00,2.32,2.71,2.56,1.54
489.79,0.21,1.86,2.87,2.28,1.35
490.57,0.43,1.41,2.80,2.00,1.47
491.36,0.66,1.04,2.74,1.98,1.60
492.14,0.89,0.67,2.24,2.48,1.91
492.93,1.00,0.86,1.74,2.98,2.23
493.71,1.11,1.04,1.09,3.72,2.07
494.50,1.16,1.43,0.45,4.46,1.92
495.29,1.21,1.82,0.22,4.89,1.24
496.07,1.22,1.89,0.00,5.32,0.56
496.86,1.22,1.96,0.38,5.23,0.28
497.64,1.11,1.85,0.76,5.13,0.00
498.43,1.01,1.75,1.49,4.91,0.56
499.21,0.84,1.92,2.22,4.68,1.11
500.00,0.67,2.09,2.96,4.69,1.94
501.00,0.43,2.66,3.69,4.71,2.77
502.05,0.30,3.22,4.14,4.83,3.29
503.11,0.18,3.86,4.59,4.94,3.81
504.16,0.09,4.50,4.53,4.89,3.79
505.21,0.00,4.67,4.47,4.83,3.78
506.27,0.17,4.84,4.20,4.60,3.24
507.32,0.33,4.02,3.92,4.38,2.71
508.37,0.75,3.61,3.87,4.21,2.17
509.43,1.17,3.19,3.82,4.05,1.63
510.48,1.43,3.17,3.74,4.17,1.56
511.53,1.69,3.16,3.66,4.28,1.66
512.59,1.60,3.18,3.14,4.59,1.77
513.64,1.51,3.20,2.63,4.89,1.53
514.69,1.23,2.92,1.99,5.04,1.29
515.74,0.96,2.65,1.36,5.19,0.90
516.80,0.90,2.33,1.17,4.96,0.51
517.85,0.84,2.00,0.98,4.73,0.29
518.90,1.36,1.86,1.30,4.26,0.07
519.96,1.89,1.72,1.63,3.78,0.04
521.01,2.64,1.65,2.38,3.42,0.00
522.06,3.38,1.57,2.48,3.06,0.02
523.12,3.48,1.40,2.58,3.03,0.05
524.17,3.58,1.23,2.56,3.00,0.08
525.22,3.00,0.90,2.55,3.11,0.11
526.28,2.43,0.58,2.65,3.23,0.38
527.33,1.99,0.29,2.75,3.29,0.66
528.38,1.56,0.00,2.98,3.28,1.46
529.44,1.59,0.00,3.22,3.26,2.27
530.49,1.61,0.00,3.65,3.33,3.18
531.54,1.81,0.19,4.07,3.40,4.10
532.60,2.01,0.37,4.82,3.54,4.24
533.65,2.49,0.48,5.57,3.68,4.39
534.70,2.79,0.59,6.72,3.78,3.77
535.76,3.09,0.48,7.87,3.89,3.14
536.81,3.41,0.38,9.38,3.88,2.22
537.86,3.73,0.21,10.88,3.87,2.48
538.91,4.22,0.03,12.26,3.80,2.74
539.97,4.71,0.00,13.63,3.73,3.42
541.02,5.51,0.21,14.13,3.85,4.10
542.07,6.31,0.42,14.63,3.96,4.59
543.13,7.02,1.03,14.25,4.56,5.08
544.18,7.74,1.63,13.88,5.17,4.96
545.23,7.91,2.51,13.56,6.21,4.83
546.29,8.09,3.38,13.24,7.26,4.39
547.34,8.04,4.03,13.49,8.42,3.94
548.39,7.99,4.68,13.75,9.57,4.00
549.45,8.24,4.76,13.92,10.50,4.07
550.50,8.49,4.84,14.09,11.43,4.85
551.55,8.97,4.62,13.52,11.79,5.63
552.61,9.45,4.39,12.95,12.15,6.55
553.66,9.71,4.19,11.91,11.74,7.47
554.71,9.96,3.99,10.87,11.34,8.02
555.77,9.70,3.79,9.75,10.41,8.57
556.82,9.43,3.60,8.63,9.49,8.49
557.87,8.66,3.42,6.45,8.53,8.41
558.93,7.88,3.24,5.76,7.57,7.62
559.98,6.88,3.29,5.07,6.98,6.82
561.03,5.89,3.34,5.09,6.38,5.72
562.09,5.28,3.73,5.11,6.44,4.63
563.14,4.67,4.12,5.43,6.49,4.01
564.19,4.97,4.61,5.74,7.65,3.38
565.24,5.27,5.10,5.85,8.08,3.51
566.30,7.45,5.31,5.97,8.51,3.79
567.35,8.73,5.52,5.99,8.22,4.07
568.40,10.01,5.47,6.02,7.93,4.11
569.46,10.89,5.41,6.05,7.21,4.15
570.51,11.78,5.27,6.09,6.49,3.94
571.56,11.81,5.12,5.81,6.16,3.74
572.62,11.85,4.45,5.53,5.83,3.62
573.67,10.70,3.87,4.80,6.08,3.49
574.72,9.54,3.30,4.07,6.32,3.54
575.78,7.49,2.76,3.46,6.40,3.59
576.83,5.44,2.22,2.84,6.49,3.54
577.88,3.55,2.03,2.69,5.91,3.49
578.94,1.67,1.83,2.54,5.33,3.27
579.99,0.83,2.06,2.41,4.46,3.04
581.04,0.00,2.28,2.29,3.58,2.83
582.10,0.12,2.79,1.94,3.06,2.62
583.15,0.25,3.31,1.60,2.54,2.55
584.20,0.95,3.95,1.45,2.61,2.48
585.26,1.65,4.58,1.30,2.68,2.58
586.31,2.37,4.93,1.32,2.99,2.68
587.36,3.09,5.29,1.35,3.30,2.83
588.41,3.49,4.96,1.06,3.38,2.98
589.47,3.88,4.64,0.77,3.46,2.89
590.52,3.98,3.89,0.38,3.40,2.81
591.57,4.07,3.14,0.00,3.33,2.26
592.63,4.00,2.70,0.23,3.52,2.16
593.68,3.93,2.25,0.67,3.71,2.06
594.73,3.75,2.31,1.11,4.04,2.14
595.79,3.57,2.37,1.29,4.38,2.21
596.84,3.07,2.49,1.46,4.41,2.17
597.89,3.01,2.60,1.29,4.44,2.12
598.95,2.96,2.55,1.11,4.07,1.85
600.00,3.21,2.50,0.89,3.71,1.57
601.00,3.45,2.49,0.66,3.36,1.23
602.27,3.78,2.47,0.57,3.00,0.89
603.54,4.11,2.58,0.47,3.19,0.79
604.81,4.14,2.68,0.50,3.61,0.70
606.08,4.17,2.62,0.54,4.02,1.00
607.35,3.91,2.29,0.67,4.11,1.29
608.62,3.66,1.97,0.80,4.21,1.58
609.88,3.38,1.45,0.94,3.62,1.86
611.15,3.11,0.93,1.09,3.03,1.79
612.42,2.97,0.50,1.11,2.23,1.73
613.69,2.84,0.07,1.14,1.43,1.61
614.96,2.76,0.06,0.90,1.10,1.48
616.23,2.68,0.05,0.66,0.78,1.54
617.50,2.51,0.41,0.33,1.00,1.59
618.77,2.34,0.77,0.00,1.21,1.68
620.04,2.05,1.19,0.03,1.43,1.76
621.31,1.76,1.61,0.07,1.66,1.73
622.58,1.42,1.95,0.43,1.69,1.69
623.85,1.09,2.29,0.79,1.72,1.22
625.12,0.92,2.53,0.97,1.82,0.84
626.38,0.76,2.76,1.14,1.92,0.47
627.65,0.95,2.70,1.26,2.10,0.23
628.92,1.13,2.65,1.37,2.28,0.00
630.19,1.41,2.24,1.92,2.24,0.06
631.46,1.69,1.83,2.47,2.19,0.12
632.73,1.71,1.40,3.09,2.01,0.40
634.00,1.73,0.97,3.71,1.83,0.69
635.27,1.29,0.81,3.66,1.86,1.13
636.54,1.16,0.65,3.16,1.89,1.57
637.81,1.04,0.64,2.66,2.10,2.23
639.08,1.36,0.63,2.27,2.31,2.88
640.35,1.68,0.63,1.89,2.42,3.52
641.62,2.33,0.63,1.62,2.53,4.15
642.88,2.99,0.72,1.35,2.38,4.31
644.15,3.30,0.82,0.99,2.22,4.46
645.42,3.61,0.92,0.63,1.89,4.09
646.69,3.17,1.03,0.32,1.56,3.72
647.96,2.72,0.87,0.00,1.34,3.21
649.23,1.89,0.67,0.00,1.11,2.70
650.50,1.06,0.46,0.00,1.02,2.27
651.77,0.53,0.31,0.18,0.93,1.85
653.04,0.00,0.16,0.36,0.84,1.60
654.31,0.06,0.08,0.79,0.60,1.36
655.58,0.11,0.00,1.21,0.36,1.32
656.85,0.58,0.00,1.45,0.18,1.35
658.12,1.04,0.00,1.69,0.00,1.39
659.38,1.42,0.16,1.43,0.13,1.35
660.65,1.79,0.31,1.18,0.27,1.32
661.92,1.83,0.64,0.87,0.75,1.41
663.19,1.88,0.97,0.56,1.24,1.50
664.46,1.82,1.29,0.78,1.79,1.94
665.73,1.75,1.60,1.01,2.35,2.37
667.00,2.08,1.85,1.62,2.67,2.96
668.27,2.40,2.10,2.22,2.99,3.55
669.54,3.18,2.23,2.57,2.95,3.81
670.81,3.97,2.35,2.91,2.91,4.07
672.08,5.38,2.12,2.79,2.61,3.96
673.35,5.49,1.89,2.67,2.32,3.85
674.62,5.60,1.41,2.42,1.99,3.88
675.88,5.07,0.93,2.17,1.66,3.91
677.15,4.54,0.61,2.22,1.52,4.20
678.42,3.78,0.30,2.27,1.38,4.49
679.69,3.01,0.15,3.50,1.51,4.60
680.96,2.59,0.00,4.40,1.63,4.70
682.23,2.17,0.00,5.31,1.98,4.44
683.50,2.29,0.00,5.62,2.32,4.18
684.77,2.41,0.30,5.93,2.85,3.81
686.04,2.88,0.60,5.36,3.38,3.44
687.31,3.35,1.48,4.79,3.87,3.03
688.58,3.93,1.67,4.27,4.35,3.03
689.85,4.51,1.85,3.75,4.32,3.02
691.12,4.88,1.96,3.88,4.29,3.03
692.38,5.24,2.08,4.02,3.73,3.05
693.65,5.27,2.46,4.34,3.17,2.98
694.92,5.30,2.83,4.67,2.56,2.92
696.19,5.41,3.18,4.76,1.95,2.78
697.46,5.51,3.53,4.86,1.11,2.64
698.73,5.98,3.49,4.89,0.79,2.41
700.00,6.45,3.44,4.93,0.47,2.18
701.00,6.92,3.20,4.92,0.23,2.14
702.90,7.39,2.95,4.91,0.00,2.10
704.81,7.25,2.74,4.69,0.00,2.60
706.71,7.10,2.54,4.47,0.00,3.09
708.62,6.30,2.33,4.17,0.31,3.72
710.52,5.50,2.12,3.88,0.63,4.35
712.42,4.63,1.86,3.72,1.18,4.31
714.33,3.77,1.60,3.55,1.74,4.27
716.23,2.68,1.30,3.35,2.27,3.58
718.13,2.29,1.00,3.15,2.79,2.88
720.04,1.91,0.74,2.73,3.07,2.31
721.94,1.53,0.49,2.31,3.36,1.74
723.85,1.15,0.50,1.82,3.27,1.65
725.75,0.89,0.52,1.32,3.19,1.56
727.65,0.62,0.76,0.92,2.77,1.81
729.56,0.90,1.00,0.53,2.36,2.06
731.46,1.18,1.31,0.26,1.95,2.71
733.37,1.87,1.62,0.00,1.54,2.82
735.27,2.56,1.95,0.24,1.39,2.93
737.17,3.48,2.28,0.93,1.24,2.75
739.08,4.40,3.06,1.63,1.22,2.57
740.98,5.51,3.45,3.31,1.21,2.46
742.88,6.61,3.85,4.99,1.15,2.36
744.79,8.66,4.27,8.46,1.09,2.50
746.69,10.70,4.68,11.93,1.27,2.64
748.60,15.38,5.63,19.05,1.46,2.91
750.50,20.05,6.58,26.18,2.44,3.18
752.40,29.62,9.11,39.19,3.42,3.84
754.31,39.19,11.63,52.21,5.56,4.50
756.21,55.75,16.42,71.31,7.70,6.26
758.12,72.32,21.22,90.40,10.92,8.03
760.02,96.25,27.67,111.56,14.14,11.29
761.92,120.19,34.13,132.71,21.53,14.56
763.83,147.56,40.32,147.94,24.52,18.73
765.73,174.93,46.51,163.17,27.51,22.90
767.63,196.65,50.39,164.74,28.64,26.64
769.54,218.36,54.26,166.31,29.78,30.37
771.44,224.35,54.79,152.98,28.68,32.06
773.35,230.34,55.32,139.64,27.57,33.75
775.25,203.75,53.06,118.20,24.84,32.32
777.15,177.68,50.79,96.75,22.10,30.90
779.06,151.61,47.49,76.67,19.06,23.23
780.96,124.45,44.18,56.58,16.03,19.21
782.87,97.29,41.50,43.42,13.76,15.18
784.77,77.48,38.82,30.25,11.49,12.64
786.67,57.67,37.02,23.88,9.98,10.11
788.58,46.71,35.22,17.50,8.47,8.82
790.48,35.74,33.29,15.02,7.27,7.53
792.38,30.67,31.35,12.54,6.07,6.41
794.29,25.61,28.43,11.47,5.24,5.29
796.19,23.04,25.52,10.40,4.41,4.15
798.10,20.46,18.38,9.59,4.22,3.01
800.00,18.72,15.19,8.77,4.03,2.37
801.00,16.97,12.01,7.45,4.16,1.73
803.41,15.95,10.05,7.46,4.29,1.57
805.83,14.93,8.09,7.48,4.18,1.42
808.24,14.73,7.39,8.72,4.07,1.32
810.66,14.52,6.70,9.97,3.93,1.23
813.07,15.11,6.78,12.23,3.79,1.27
815.49,15.70,6.86,14.50,4.19,1.31
817.90,17.30,7.35,16.69,4.58,1.78
820.32,18.91,7.85,18.89,5.21,2.24
822.73,21.39,8.68,20.05,5.83,3.07
825.15,23.88,9.52,21.20,5.97,3.90
827.56,26.30,10.53,21.42,6.12,4.67
829.98,28.71,11.54,21.63,5.86,5.44
832.39,30.26,12.42,21.48,5.60,5.96
834.80,31.80,13.29,21.33,5.49,6.48
837.22,33.21,13.79,20.94,5.37,7.32
839.63,33.41,14.30,20.55,5.76,7.54
842.05,33.61,14.27,19.88,6.00,7.75
844.46,33.44,14.25,19.21,6.24,7.46
846.88,33.27,13.75,18.64,6.24,7.16
849.29,32.78,13.24,18.07,6.25,6.52
851.71,32.29,12.62,18.02,5.91,5.87
854.12,31.65,12.01,17.98,5.58,5.38
856.54,31.01,11.86,18.47,5.09,4.89
858.95,30.76,11.71,18.97,4.59,4.96
861.37,30.50,12.36,19.59,4.32,5.02
863.78,31.28,13.01,20.22,4.04,5.57
866.20,32.06,14.19,20.76,4.16,6.13
868.61,33.83,15.36,21.30,4.28,6.69
871.02,35.59,16.38,21.87,4.55,7.24
873.44,37.36,17.39,22.45,4.81,7.43
875.85,39.12,18.05,23.14,4.98,7.62
878.27,39.96,17.62,23.82,5.15,7.63
880.68,40.79,17.18,25.05,5.15,7.65
883.10,40.79,16.27,25.34,5.16,7.84
885.51,40.79,15.36,25.63,4.76,8.03
887.93,40.69,14.48,25.68,4.37,8.39
890.34,40.58,13.59,25.73,3.62,8.75
892.76,40.92,13.28,26.11,2.86,8.98
895.17,41.25,12.96,26.50,2.38,9.22
897.59,42.27,13.42,27.79,1.90,8.95
900.00,43.30,13.88,29.09,2.25,8.60
901.00,45.08,14.80,31.37,2.60,8.25
904.54,46.86,15.71,33.64,3.63,8.17
908.07,49.30,16.52,37.17,4.67,8.10
911.61,51.74,17.33,40.69,5.87,8.69
915.14,58.88,18.24,47.88,7.07,9.29
918.68,66.69,19.16,55.06,7.98,10.59
922.21,74.49,22.17,73.96,8.89,11.90
925.75,96.75,25.19,92.87,10.28,14.04
929.29,119.00,34.77,139.91,11.67,16.18
932.82,178.50,44.35,186.94,16.12,20.63
936.36,238.00,67.84,279.96,20.57,25.07
939.89,366.09,91.34,372.97,42.31,35.74
943.43,494.18,136.53,512.48,61.69,46.42
946.96,705.23,181.72,651.98,81.06,68.15
950.50,916.28,249.25,804.05,106.85,89.89
954.04,1171.77,316.78,956.12,132.64,123.25
957.57,1427.26,391.81,1057.41,156.59,156.62
961.11,1628.85,466.85,1158.69,180.54,193.26
964.64,1830.44,519.50,1153.45,190.90,229.91
968.18,1872.35,572.15,1148.21,201.27,254.12
971.71,1914.25,575.71,1035.82,191.38,278.33
975.25,1767.50,523.36,923.43,181.49,276.49
978.79,1620.75,471.01,765.03,156.51,274.64
982.32,1364.86,392.00,606.62,131.53,218.91
985.86,1108.97,312.98,474.55,104.35,180.06
989.39,865.71,242.68,342.48,77.18,141.21
992.93,622.46,172.38,193.50,57.77,108.55
996.46,463.20,128.49,164.28,38.36,75.88
1000.00,303.93,84.60,135.05,28.47,56.37
1001.00,226.25,64.09,125.63,18.58,36.87
1006.10,148.57,43.57,116.20,14.72,27.98
1011.21,117.58,35.77,109.89,10.86,19.09
1016.31,86.60,27.97,103.58,9.28,15.97
1021.41,61.97,25.00,95.24,7.71,12.86
1026.51,55.90,22.03,86.91,6.78,12.22
1031.62,49.82,20.42,77.54,5.86,11.58
1036.72,46.31,18.80,68.18,5.41,11.88
1041.82,42.79,17.42,59.94,4.96,12.18
1046.92,40.66,16.04,51.71,4.92,12.87
1052.03,38.54,14.78,45.78,4.89,13.55
1057.13,37.10,13.52,39.86,4.92,14.56
1062.23,35.66,12.61,36.49,4.96,15.56
1067.33,34.91,11.70,33.13,4.78,17.31
1072.44,34.16,11.19,32.11,4.60,19.06
