Size (bp),G1: 10454879 	Wang	Ph0,G2: 10454879 	Wang	Ph1,G3: 10454879 	Wang	Ph2,G4: 10454879 	Wang	Ctrl,G5: 10454879 	Wang	FoxA
55.42,153.21,150.60,184.42,269.08,136.96
55.84,158.68,153.70,188.93,269.54,137.01
56.26,165.74,156.81,196.52,270.01,137.07
56.68,172.81,169.20,204.12,274.24,140.22
57.10,182.29,181.59,214.08,278.47,143.37
57.52,191.78,202.02,224.04,286.35,150.63
57.94,203.62,222.44,233.22,294.24,157.88
58.36,215.46,241.20,242.40,304.47,167.75
58.78,235.67,259.97,248.12,314.70,177.61
59.20,239.33,267.04,253.85,323.92,185.78
59.62,243.00,274.11,257.56,333.13,193.95
60.04,240.85,268.56,261.26,339.47,197.31
60.46,238.69,263.00,266.64,345.81,200.68
60.88,235.86,241.25,272.02,351.69,200.69
61.30,233.03,232.63,279.98,357.57,201.29
61.73,232.51,224.00,287.93,366.17,201.90
62.15,231.98,220.19,296.93,374.77,204.46
62.57,232.64,216.37,305.93,385.15,207.02
62.99,233.29,218.07,317.39,395.52,209.20
63.41,235.41,219.77,328.84,404.84,211.39
63.83,237.54,224.54,346.64,414.16,212.21
64.25,245.30,229.31,364.45,423.79,213.04
64.67,253.06,237.93,389.25,433.42,215.82
65.09,269.03,246.55,414.06,448.42,218.60
65.51,285.01,258.58,443.15,463.42,226.88
65.93,306.91,270.61,472.23,486.44,235.17
66.35,328.81,283.42,501.73,509.46,249.02
66.77,351.43,296.23,531.23,539.12,262.87
67.19,374.06,305.89,578.70,568.78,279.35
67.61,391.39,315.55,593.23,600.56,295.83
68.03,408.72,320.08,607.76,632.34,309.86
68.45,418.70,324.61,619.48,658.19,323.90
68.88,428.68,327.83,631.20,684.05,331.29
69.30,436.82,331.05,647.30,699.41,338.68
69.72,444.95,338.44,663.41,714.78,340.97
70.14,456.34,345.83,676.95,738.16,343.26
70.56,467.72,354.56,690.50,754.07,345.11
70.98,485.73,363.30,684.88,769.98,346.96
71.40,480.12,361.70,679.25,781.40,347.88
71.82,474.52,360.11,647.95,792.82,348.80
72.24,450.17,340.66,616.66,779.61,336.58
72.66,425.83,321.20,573.31,766.40,320.21
73.08,393.86,291.12,529.96,723.03,303.84
73.50,361.89,261.03,496.83,679.66,282.96
73.92,338.60,210.91,463.71,626.55,262.08
74.34,315.31,199.27,450.50,573.45,246.86
74.76,305.92,187.62,437.29,536.55,231.64
75.18,296.54,184.51,432.55,499.66,225.69
75.61,291.66,181.39,427.82,484.09,219.74
76.03,286.78,176.92,414.32,468.51,216.28
76.45,275.35,172.45,400.82,458.22,212.83
76.87,263.92,162.68,376.98,447.93,203.58
77.29,246.24,152.91,353.15,428.71,194.34
77.71,228.55,142.35,333.46,409.50,179.63
78.13,214.66,131.80,313.77,385.10,164.93
78.55,200.76,128.37,311.80,360.71,152.31
78.97,200.36,124.94,309.84,344.74,139.70
79.39,199.95,133.28,329.31,328.78,135.75
79.81,216.71,141.62,348.79,329.31,131.80
80.23,233.46,158.62,386.85,329.85,139.49
80.65,263.80,175.62,424.91,347.38,147.17
